Country,Region
Afghanistan,Southern Asia
Albania,Eastern Europe
Algeria,Northern Africa
Andorra,Western Europe
Angola,Middle Africa
Antigua and Barbuda,Caribbean
Argentina,South America
Armenia,Western Asia
Australia,Oceania
Austria,Western Europe
Azerbaijan,Western Asia
Bahamas,Caribbean
Bahrain,Western Asia
Bangladesh,Southern Asia
Barbados,Caribbean
Belarus,Eastern Europe
Belgium,Western Europe
Belize,Central America
Benin,Western Africa
Bhutan,Southern Asia
Bolivia,South America
Bosnia and Herzegovina,Eastern Europe
Botswana,Southern Africa
Brazil,South America
Brunei Darussalam,South-Eastern Asia
Bulgaria,Eastern Europe
Burkina Faso,Western Africa
Burundi,Eastern Africa
Cabo Verde,Western Africa
Cambodia,South-Eastern Asia
Cameroon,Middle Africa
Canada,North America
Central African Republic,Middle Africa
Chad,Middle Africa
Chile,South America
China,Eastern Asia
Colombia,South America
Comoros,Eastern Africa
Congo (Brazzaville),Middle Africa
Congo (Kinshasa),Middle Africa
Costa Rica,Central America
Cote d'Ivoire,Western Africa
Country,Continent
Croatia,Eastern Europe
Cuba,Caribbean
Czech Republic,Eastern Europe
Denmark,Western Europe
Djibouti,Eastern Africa
Dominica,Caribbean
Dominican Republic,Caribbean
Ecuador,South America
Egypt,Northern Africa
El Salvador,Central America
Equatorial Guinea,Middle Africa
Eritrea,Eastern Africa
Estonia,Eastern Europe
Eswatini (Kingdom of),Southern Africa
Ethiopia,Eastern Africa
Fiji,Oceania
Finland,Western Europe
France,Western Europe
Gabon,Middle Africa
Gambia,Western Africa
Georgia,Western Asia
Germany,Western Europe
Ghana,Western Africa
Greece,Eastern Europe
Grenada,Caribbean
Guatemala,Central America
Guinea,Western Africa
Guinea-Bissau,Western Africa
Guyana,South America
Haiti,Caribbean
Honduras,Central America
Hong Kong,Eastern Asia
Hungary,Eastern Europe
Iceland,Western Europe
India,Southern Asia
Indonesia,South-Eastern Asia
Iran,Southern Asia
Iraq,Western Asia
Ireland,Western Europe
Israel,Western Asia
Italy,Western Europe
Ivory Coast,Western Africa
Jamaica,Caribbean
Japan,Eastern Asia
Jordan,Western Asia
Kazakhstan,Central Asia
Kenya,Eastern Africa
Kiribati,Oceania
Kosovo,Eastern Europe
Kuwait,Western Asia
Kyrgyzstan,Central Asia
Laos,South-Eastern Asia
Latvia,Eastern Europe
Lebanon,Western Asia
Lesotho,Southern Africa
Liberia,Western Africa
Libya,Northern Africa
Liechtenstein,Western Europe
Lithuania,Eastern Europe
Luxembourg,Western Europe
Macedonia,Western Europe
Madagascar,Eastern Africa
Malawi,Eastern Africa
Malaysia,South-Eastern Asia
Maldives,Southern Asia
Mali,Western Africa
Malta,Western Europe
Marshall Islands,Oceania
Mauritania,Western Africa
Mauritius,Eastern Africa
Mexico,Central America
Micronesia (Federated States of),Oceania
Moldova,Eastern Europe
Mongolia,Eastern Asia
Montenegro,Eastern Europe
Morocco,Northern Africa
Mozambique,Eastern Africa
Myanmar,South-Eastern Asia
Namibia,Southern Africa
Nepal,Southern Asia
Netherlands,Western Europe
New Zealand,Oceania
Nicaragua,Central America
Niger,Western Africa
Nigeria,Western Africa
North Cyprus,Western Europe
Cyprus,Western Europe
Norway,Western Europe
Oman,Western Asia
Pakistan,Southern Asia
Palau,Oceania
Palestinian Territories,Western Asia
Panama,Central America
Papua New Guinea,Oceania
Paraguay,South America
Peru,South America
Philippines,South-Eastern Asia
Poland,Eastern Europe
Portugal,Western Europe
Qatar,Western Asia
Romania,Eastern Europe
Russia,Eastern Europe
Rwanda,Eastern Africa
Saint Kitts and Nevis,Caribbean
Saint Lucia,Caribbean
Saint Vincent and the Grenadines,Caribbean
Samoa,Oceania
Sao Tome and Principe,Middle Africa
Saudi Arabia,Western Asia
Senegal,Western Africa
Serbia,Eastern Europe
Seychelles,Eastern Africa
Sierra Leone,Western Africa
Singapore,South-Eastern Asia
Slovakia,Eastern Europe
Slovenia,Eastern Europe
Solomon Islands,Oceania
Somalia,Eastern Africa
Somaliland region,Eastern Africa
South Africa,Southern Africa
South Korea,Eastern Asia
South Sudan,Eastern Africa
Spain,Western Europe
Sri Lanka,Southern Asia
Sudan,Eastern Africa
Suriname,South America
Swaziland,Southern Africa
Sweden,Western Europe
Switzerland,Western Europe
Syria,Western Asia
Taiwan,Eastern Asia
Tajikistan,Central Asia
Tanzania,Eastern Africa
Thailand,South-Eastern Asia
Timor-Leste,South-Eastern Asia
Togo,Western Africa
Tonga,Oceania
Trinidad and Tobago,Caribbean
Tunisia,Northern Africa
Turkey,Western Asia
Turkmenistan,Central Asia
Uganda,Eastern Africa
Ukraine,Eastern Europe
United Arab Emirates,Western Asia
United Kingdom,Western Europe
United States,North America
Uruguay,South America
Uzbekistan,Central Asia
Vanuatu,Oceania
Venezuela,South America
Vietnam,South-Eastern Asia
Yemen,Western Asia
Zambia,Eastern Africa
Zimbabwe,Eastern Africa
